isocode,year,CKON,GKON,IKON,EXPK,IMPK,CCUR,GCUR,ICUR,EXPC,IMPC,XRAT,POP
MKD,yr1997,130097560980,36016392095,35870407842,65355631787,87583152435,135000000000,36700360704,39014400000,69407596544,94590107648,50.00355148,1996870
MKD,yr1998,134227642280,37380733472,37385253162,70880210646,94024196850,141000000000,39503822848,43465109504,80343457792,109000000000,54.46173096,2015000
MKD,yr1999,139390243900,39013196925,34072006213,75739613709,94130981936,146000000000,43009257472,41284583424,88143265792,109000000000,56.90182877,2017000
MKD,yr2000,166235772360,35698689924,33550384293,90284867427,125171604650,194000000000,42352001024,39340539904,106000000000,147000000000,65.90386963,2031000
MLI,yr1950,,,,,,,,,,,,
MLI,yr1951,,,,,,,,,,,,
MLI,yr1952,,,,,,,,,,,,
MLI,yr1953,,,,,,,,,,,,
MLI,yr1954,,,,,,,,,,,,
MLI,yr1955,,,,,,,,,,,,
MLI,yr1956,,,,,,,,,,,,
MLI,yr1957,,,,,,,,,,,,
MLI,yr1958,,,,,,,,,,,,
MLI,yr1959,,,,,,,,,,,,
MLI,yr1960,658000000000,10027632457,76050680840,40243377875,76838571307,32653976257,3433812927,3746571001,3819589120,8458713978,245.1950989,4350000
MLI,yr1961,641000000000,10847010993,77583960708,40676102374,79425728598,32982983597,3855328888,4007568084,3868246308,8828999682,245.2601013,4434790
MLI,yr1962,618000000000,12524786085,88930231652,37647030925,83306464529,33970005582,4739484318,4731624508,3564138894,9372856812,245.0139008,4519030
MLI,yr1963,643000000000,12641840170,105000000000,36781581965,78390865737,35861797677,4862854843,5725097271,3734439047,9129856826,245.0164032,4604540
MLI,yr1964,533000000000,10573884840,147000000000,36997944241,96242251007,39234122713,5356336946,9176994155,4561611217,11687142463,245.0272064,4694270
MLI,yr1965,575000000000,11042101144,123000000000,33103423819,91067936507,42606447765,5633920626,7493142017,4087203653,10402713943,245.0608978,4790000
MLI,yr1966,554000000000,11978533753,154000000000,43272449437,97018398337,44580491686,6559199563,9850535021,4817061451,11432571056,245.6784058,4874020
MLI,yr1967,577000000000,12095587837,160000000000,48897867875,126000000000,56424755200,8060207616,11786964992,7699999744,16199999488,246.0009003,4978430
MLI,yr1968,593000000000,14941726483,163000000000,45574495036,119000000000,67311771648,9956805632,14537246720,8700000256,15399999488,247.5646973,5096630
MLI,yr1969,593000000000,15937829711,166000000000,51747457750,128000000000,69320531968,10620584960,15323084800,9900000256,16800000000,259.9606018,5217780
MLI,yr1970,623000000000,16933932938,155000000000,51271951764,106000000000,78665678848,11284364288,15192128512,12400000000,18100000768,276.4031067,5335000
MLI,yr1971,637000000000,18926137831,147000000000,69735716920,117000000000,86195232768,12611921920,17418485760,14599999488,22000001024,275.5914917,5450230
MLI,yr1972,674000000000,24618233929,172000000000,62711660354,132000000000,96981164032,16404997120,20954603520,12300000256,24000000000,252.0276031,5564470
MLI,yr1973,672000000000,18214740628,172000000000,57193380738,127000000000,108000000000,12137863168,21216516096,12800000000,28700000256,222.8892059,5677750
MLI,yr1974,724000000000,26183564885,129000000000,62711660354,175000000000,131000000000,17448095744,17549441024,16499999744,52999999488,240.7046967,5790790
MLI,yr1975,771000000000,31448785485,161000000000,63716082569,166000000000,164000000000,20956710912,27633874944,17200001024,52100001792,214.3128967,5905000
MLI,yr1976,858000000000,30167976233,167000000000,73749946033,149000000000,197000000000,20103211008,29991286784,24700000256,47200002048,238.9505005,6031920
MLI,yr1977,851000000000,40982937575,209000000000,91307494351,145000000000,208000000000,27310041088,40206675968,32899999744,50500001792,245.6797028,6165220
MLI,yr1978,898000000000,48809590797,206000000000,87294977982,215000000000,250000000000,32525533184,43918872576,32000000000,82300002304,225.655899,6303830
MLI,yr1979,965000000000,58152600735,243000000000,96827178418,229000000000,300000000000,38751490048,52517568512,40699998208,92400001024,212.7216034,6445740
MLI,yr1980,912000000000,65458452197,233000000000,121000000000,251000000000,330000000000,43619934208,58411098112,55500001280,110000000000,211.2796021,6590000
MLI,yr1981,864000000000,66881977632,230000000000,115000000000,243000000000,361000000000,44568539136,64827858944,54499999744,119000000000,271.7315063,6731940
MLI,yr1982,811000000000,72364112272,223000000000,117000000000,241000000000,384000000000,48221696000,71030521856,62499999744,130000000000,328.6062927,6881340
MLI,yr1983,902000000000,82049206182,175000000000,129000000000,271000000000,454000000000,54675611648,59925749760,79600001024,155000000000,381.0660095,7039870
MLI,yr1984,944000000000,91551561645,185000000000,151000000000,314000000000,528000000000,61007753216,70530310144,102000000000,188000000000,436.9566956,7208810
MLI,yr1985,987000000000,117000000000,240000000000,147000000000,422000000000,579000000000,78700003328,93100007424,98911494144,260000000000,449.2630005,7389000
MLI,yr1986,859000000000,116000000000,278000000000,158000000000,388000000000,511000000000,77279002624,120000000000,88982249472,217000000000,346.3059082,7579710
MLI,yr1987,858000000000,103000000000,263000000000,161000000000,366000000000,488000000000,67621998592,120000000000,96108478464,192000000000,300.5365906,7781530
MLI,yr1988,916000000000,89187683298,254000000000,157000000000,382000000000,499000000000,62689001472,124000000000,94964727808,201000000000,297.8482056,7995060
MLI,yr1989,1.02E12,97567284800,268000000000,174000000000,404000000000,536000000000,68509999104,139000000000,107000000000,210000000000,319.0083008,8220980
MLI,yr1990,972000000000,98241755679,324000000000,185000000000,439000000000,548000000000,69400002560,151000000000,113000000000,222000000000,272.264801,8460000
MLI,yr1991,960000000000,120000000000,315000000000,208000000000,451000000000,554000000000,86000001024,156000000000,125000000000,236000000000,282.1069031,8702480
MLI,yr1992,1.03E12,137000000000,341000000000,222000000000,483000000000,629000000000,92349997056,165000000000,117000000000,248000000000,264.691803,8948330
MLI,yr1993,980000000000,135000000000,320000000000,229000000000,445000000000,619000000000,90199998464,165000000000,120000000000,237000000000,283.1625977,9197450
MLI,yr1994,990000000000,143000000000,255000000000,245000000000,415000000000,786000000000,119000000000,267000000000,225000000000,420000000000,555.2047119,9449710
MLI,yr1995,1.03E12,182000000000,276000000000,261000000000,444000000000,964000000000,171000000000,282000000000,260000000000,446000000000,499.148407,9705000
MLI,yr1996,1.08E12,183000000000,312000000000,268000000000,479000000000,1.08E12,183000000000,312000000000,268000000000,479000000000,511.5523987,9993350
MLI,yr1997,1.0714557E12,235741354880,280800000000,390275000000,526519841270,1.13E12,174000000000,298000000000,377000000000,531000000000,583.6693726,10089800
MLI,yr1998,1.1175949E12,225491730750,296400000000,380225000000,530321428570,1.19E12,173000000000,320000000000,375000000000,524000000000,589.9517822,10333640
MLI,yr1999,1.1774051E12,262390377600,309771428570,433825000000,526519841270,1.22E12,199000000000,336000000000,394000000000,570000000000,615.6990967,10583650
MLI,yr2000,1.203038E12,323888122350,327600000000,418750000000,589246031750,1.3E12,217000000000,370000000000,409000000000,660000000000,711.9763184,10840000
MLT,yr1950,,,,,,,,,,,,
MLT,yr1951,,,,,,,,,,,,
MLT,yr1952,,,,,,,,,,,,
MLT,yr1953,,,,,,,,,,,,
MLT,yr1954,,,,,,25199999.92,4489182.674,3864864.848,21499999.93,22199999.93,0.357043054,314045.4537
MLT,yr1955,,,,,,24999999.93,5187499.981,4855855.837,21899999.95,23499999.92,0.357043054,314045.4537
MLT,yr1956,,,,,,28699999.93,5796033.639,8225225.204,23699999.97,28399999.93,0.357043054,317249.9994
MLT,yr1957,,,,,,30199999.95,6394591.335,9018017.995,23899999.97,29599999.95,0.357043054,320454.5449
MLT,yr1958,,,,,,31199999.98,6494350.956,10702702.68,25299999.99,30999999.97,0.357043054,323659.0906
MLT,yr1959,,,,,,32799999.98,6294831.726,9810810.801,25599999.99,30199999.97,0.357043054,326863.6362
MLT,yr1960,,,,,,34200000,8300000,11000000,28200000,33600000,0.357143015,329000
MLT,yr1961,,,,,,35700000,8300000,9800000,28500000,32300000,0.357143015,323170
MLT,yr1962,,,,,,35800000,8300000,10100000,25700000,31300000,0.357143015,320010
